Country_Name,# Summer,Gold_Summer,Silver_Summer,Bronze_Summer,Total_Summer,# Winter,Gold_Winter,Silver_Winter,Bronze_Winter,Total_Winter,# Games,Gold_Total,Silver_Total,Bronze_Total,Total
Serbia and Montenegro,3,2,4,3,9,3,0,0,0,0,6,2,4,3,9
Singapore,15,0,2,2,4,0,0,0,0,0,15,0,2,2,4
Slovakia,5,7,9,8,24,6,2,2,1,5,11,9,11,9,29
Slovenia,6,4,6,9,19,7,2,4,9,15,13,6,10,18,34
South Africa,18,23,26,27,76,6,0,0,0,0,24,23,26,27,76
Spain,22,37,59,35,131,19,1,0,1,2,41,38,59,36,133
Sri Lanka,16,0,2,0,2,0,0,0,0,0,16,0,2,0,2
Sudan,11,0,1,0,1,0,0,0,0,0,11,0,1,0,1
Suriname,11,1,0,1,2,0,0,0,0,0,11,1,0,1,2
Sweden,26,143,164,176,483,22,50,40,54,144,48,193,204,230,627
Switzerland,27,47,73,65,185,22,50,40,48,138,49,97,113,113,323
Syria,12,1,1,1,3,0,0,0,0,0,12,1,1,1,3
Chinese Taipei,13,2,7,12,21,11,0,0,0,0,24,2,7,12,21
Tajikistan,5,0,1,2,3,4,0,0,0,0,9,0,1,2,3
Tanzania,12,0,2,0,2,0,0,0,0,0,12,0,2,0,2
Thailand,15,7,6,11,24,3,0,0,0,0,18,7,6,11,24
Togo,9,0,0,1,1,1,0,0,0,0,10,0,0,1,1
Tonga,8,0,1,0,1,1,0,0,0,0,9,0,1,0,1
Trinidad and Tobago,16,2,5,11,18,3,0,0,0,0,19,2,5,11,18
Tunisia,13,3,3,4,10,0,0,0,0,0,13,3,3,4,10
Turkey,21,39,25,24,88,16,0,0,0,0,37,39,25,24,88
Uganda,14,2,3,2,7,0,0,0,0,0,14,2,3,2,7
Ukraine,5,33,27,55,115,6,2,1,4,7,11,35,28,59,122
United Arab Emirates,8,1,0,0,1,0,0,0,0,0,8,1,0,0,1
United States,26,976,757,666,2399,22,96,102,84,282,48,1072,859,750,2681
Uruguay,20,2,2,6,10,1,0,0,0,0,21,2,2,6,10
Uzbekistan,5,5,5,10,20,6,1,0,0,1,11,6,5,10,21
Venezuela,17,2,2,8,12,4,0,0,0,0,21,2,2,8,12
Vietnam,14,0,2,0,2,0,0,0,0,0,14,0,2,0,2
Virgin Islands,11,0,1,0,1,7,0,0,0,0,18,0,1,0,1
Yugoslavia,16,26,29,28,83,14,0,3,1,4,30,26,32,29,87
Independent Olympic Participants,1,0,1,2,3,0,0,0,0,0,1,0,1,2,3
Zambia,12,0,1,1,2,0,0,0,0,0,12,0,1,1,2
Zimbabwe,12,3,4,1,8,1,0,0,0,0,13,3,4,1,8
Mixed team,3,8,5,4,17,0,0,0,0,0,3,8,5,4,17
Totals,27,4809,4775,5130,14714,22,959,958,948,2865,49,5768,5733,6078,17579
